INFO  | 2020-06-10 21:49:36 | [main] pages.HomePage (HomePage.java:50) - Input Text Dolly Sehgal
INFO  | 2020-06-10 21:49:36 | [main] actions.DefaultActions (DefaultActions.java:61) - Click performed on Radio Button Located by By.chained({By.id: com.androidsample.generalstore:id/radioFemale})
INFO  | 2020-06-10 21:49:36 | [main] pages.HomePage (HomePage.java:59) - Radio Button Clicked female
INFO  | 2020-06-10 21:49:36 | [main] test.Base (Base.java:37) - ------------------------------ Closing Drive instance ------------------------------
INFO  | 2020-06-11 22:48:38 | [main] test.Base (Base.java:29) - ------------------------------ Starting Appium Server ------------------------------
INFO  | 2020-06-11 22:48:38 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: appPackage value: com.androidsample.generalstore
INFO  | 2020-06-11 22:48:38 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: appActivity value: com.androidsample.generalstore.SplashActivity
INFO  | 2020-06-11 22:48:38 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: noReset value: true
INFO  | 2020-06-11 22:48:38 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: appiumVersion value: 1.15.1
INFO  | 2020-06-11 22:48:38 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: platformVersion value: 10
INFO  | 2020-06-11 22:48:38 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: automationName value: UiAutomator1
INFO  | 2020-06-11 22:48:38 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: deviceOrientation value: portrait
INFO  | 2020-06-11 22:48:38 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: platformName value: Android
INFO  | 2020-06-11 22:48:38 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: udid value: 85c359fb
INFO  | 2020-06-11 22:48:38 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: deviceName value: OnePlus
INFO  | 2020-06-11 22:48:38 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: fullReset value: false
INFO  | 2020-06-11 22:48:38 | [main] dataProvider.ConfigDataProvider (ConfigDataProvider.java:32) - Returning value of given key: APPIUM_IP value: 127.0.0.1
INFO  | 2020-06-11 22:48:38 | [main] dataProvider.ConfigDataProvider (ConfigDataProvider.java:32) - Returning value of given key: APPIUM_PORT value: 4723
ERROR | 2020-06-11 22:48:44 | [main] actions.DefaultActions (DefaultActions.java:124) - Exception Occured: Can't locate an element by this strategy: By.chained({By.id: com.androidsample.generalstore:id/toolbar_title})
INFO  | 2020-06-11 22:48:44 | [main] pages.HomePage (HomePage.java:75) -  Valdiation Passed Located by By.chained({By.id: com.androidsample.generalstore:id/toolbar_title}) is not equal to General Store
INFO  | 2020-06-11 22:49:00 | [main] actions.DefaultActions (DefaultActions.java:41) - Cook Islands selected in drop down
INFO  | 2020-06-11 22:49:00 | [main] pages.HomePage (HomePage.java:48) - Drop Down: Country Selected Cook Islands
INFO  | 2020-06-11 22:49:07 | [main] actions.DefaultActions (DefaultActions.java:51) - I still long for her entered in Mobile TextBox Located by By.chained({By.id: com.androidsample.generalstore:id/nameField})
INFO  | 2020-06-11 22:49:07 | [main] pages.HomePage (HomePage.java:53) - Input Text I still long for her
INFO  | 2020-06-11 22:49:08 | [main] actions.DefaultActions (DefaultActions.java:61) - Click performed on Radio Button Located by By.chained({By.id: com.androidsample.generalstore:id/radioFemale})
INFO  | 2020-06-11 22:49:08 | [main] pages.HomePage (HomePage.java:62) - Radio Button Clicked Female
INFO  | 2020-06-11 22:49:09 | [main] actions.DefaultActions (DefaultActions.java:71) - Click on Button Located by By.chained({By.id: com.androidsample.generalstore:id/btnLetsShop})
INFO  | 2020-06-11 22:49:09 | [main] pages.HomePage (HomePage.java:67) - Click button Located by By.chained({By.id: com.androidsample.generalstore:id/btnLetsShop})
INFO  | 2020-06-11 22:49:09 | [main] actions.DefaultActions (DefaultActions.java:114) - Validation successfully!!!
INFO  | 2020-06-11 22:49:09 | [main] pages.ProductPage (ProductPage.java:62) -  Valdiation Passed - Current Page:- Products Page
INFO  | 2020-06-11 22:49:16 | [main] actions.DefaultActions (DefaultActions.java:136) - Scrolling to the given text: Jordan Lift Off
